ahri|アーリ|aurora|オーロラ|Aurora|得意|チャームでオーロラのWの透明化を先読みして捕まえやすく、ウルトの機動力でオーロラのウルトエリアから即脱出できる。Qポークでレーン主導権を握りやすい
ahri|アーリ|orianna|オリアナ|Orianna|得意|チャームの射程がオリアナのQより長く、ボールの配置前にバーストを叩き込める。ウルトの3回ダッシュでオリアナのウルトを避けつつ反撃できる
ahri|アーリ|azir|アジール|Azir|得意|砂兵の射程内に入らずQでポークでき、チャームが当たれば砂兵のDPSを出す前にフルコンボで倒せる。ウルトでシャッフルからも逃げられる
ahri|アーリ|taliyah|タリヤ|Taliyah|得意|Qのポークが一方的に通り、チャームでタリヤの足を止めればバーストで落としきれる。ウルトでワークドグラウンドの制約を無視して追撃できる
ahri|アーリ|annie|アニー|Annie|苦手|ポイント&クリックのスタンでチャームを構える前に瞬殺される。射程も似ているためポーク合戦で有利を取りにくい。射程ギリギリを維持し、スタン4スタック時は絶対に近づかない
ahri|アーリ|swain|スウェイン|Swain|苦手|耐久力が高くバーストで落としきれず、Eの引き寄せでチャームより先にCCを当てられる。ウルト中の回復で長期戦も不利。短いトレードでHPを削り、オールインせずジワジワ削る
ahri|アーリ|akshan|アクシャン|Akshan|苦手|AD故にマジックレジストが無意味で、パッシブの二連射による序盤のトレード負けが痛い。Wのステルスでチャームも当てにくい。Lv6以降のロームで他レーンに差をつける
akali|アカリ|yone|ヨネ|Yone|得意|Eのソウルアンバウンド中にW煙幕で一方的にダメージを出せ、R2で本体に戻るヨネを追撃できる。序盤のトレードで常に有利を取りやすい
akali|アカリ|azir|アジール|Azir|得意|砂兵のDPS圏内でもW煙幕でAAを回避でき、Eで砂兵を無視して本体に飛びつける。Lv6以降のオールインで一方的にキルが狙える
akali|アカリ|velkoz|ヴェル＝コズ|Vel'Koz|得意|機動力のないヴェル＝コズに対してEで簡単に接近でき、煙幕内からのコンボでスキルショットを避けながら一方的にバーストを叩き込める
akali|アカリ|lissandra|リサンドラ|Lissandra|苦手|Wの自己スタンでアカリのオールインを完封し、ウルトの無敵でバーストも耐える。煙幕内でもAoE CCが刺さる。ロームで別レーンから有利を作る
akali|アカリ|pantheon|パンテオン|Pantheon|苦手|序盤のポイント&クリックスタン＋高バーストでLv3から一方的に殴られる。盾で反撃も防がれる。Lv6以降にスケーリング差で逆転を狙い、序盤は耐える
akali|アカリ|twisted-fate|ツイステッド・フェイト|Twisted Fate|苦手|ゴールドカードのポイント&クリックスタンで煙幕が無意味になり、ウルトでロームも追跡される。TFのウルト中はロームを控え、プッシュでタワーにダメージを与える
akshan|アクシャン|azir|アジール|Azir|得意|序盤のパッシブ二連射でAD有利を押しつけられ、砂兵のDPSが完成する前にレーンを支配できる。Eのスウィングでシャッフルからも逃げやすい
akshan|アクシャン|malzahar|マルザハール|Malzahar|得意|Wのステルスでマルザハールのウルトのターゲットを外しやすく、序盤のAA火力でヴォイドリングを処理しながらトレード勝ちできる
akshan|アクシャン|kassadin|カサディン|Kassadin|得意|AD主体のためカサディンのパッシブ（魔法ダメージ軽減）が機能せず、序盤のAAトレードで一方的に殴れる。Lv6前にリードを広げてスケーリングを許さない
